WSP_takeover_Button,"Watch Ad"
WSP_takeover_Case1_Heading,"Free Gold Bar!"
WSP_takeover_Case2_Heading,"Free Helper!"
WSP_takeover_Case2_text,"Watch an ad to start your next level with a Random Helper."
WSP_takeover_Case3_Heading,"Free Orb!"
WSP_takeover_Case3_text,"Watch an Ad to start your next level with an Orb"
WSP_takeover_Case4_Heading,"Free Moves!"
WSP_takeover_Case4_text,"Watch an Ad to start your next level with Extra Moves"
WSP_takeover_case5_heading,"Free Booster!"
WSP_takeover_case5_text,"Watch an ad to recover a booster you used"
WSP_takeover_explaination_text,"Watch an Ad to get a Free Reward."
WSP_takeover_title,"Level Complete!"
WSP_winscreen_no_internet_text,"There is no internet connection. The gold bar will be added once you are connected."
WSP_winscreen_reward_text,"Reward Collected"
avm_egp_extra_bubbles,"Watch Ads to win extra bubbles"
avm_egpwa_extra_bubbles,"Bubbles Collected"
avm_egpwa_extra_bubbles_title,"Extra Bubbles"
avm_prelevel_double_spells,"Watch an Ad to start the level with DOUBLE spells!"
avm_prelevel_extra_spells_title,"Free spells!"
avm_prelevel_triple_spells,"Watch an Ad to start the level with TRIPLE spells!"
bottom_bar_lock_notification,"Keep playing to unlock"
btmbar_feature_notify_castle,Castle
btmbar_feature_notify_seasons,Seasons
cali_law_compliance,"Buying or purchasing this digital item is a license. See King Terms of Use here."
egp_n_animation_text,"Extra bubbles added"
egp_n_limited_offer,"Limited Offer!"
egp_n_text,Bonus
level_super_star_tuto_text1,"Unlimited shots for a few seconds!"
level_super_star_tuto_text2,Go!
library_buttons_quit,Quit
library_buttons_rate,Rate
library_errors_forgotten_user_dialog_GDPR,"We have received a request for this account to be deleted. To complete the request, please uninstall this game and all other King games. If you have any questions, please contact us at queries@support.king.com"
library_forceupdate_bodycopy,"Please update your app to get all the new features."
library_forceupdate_button,Update
library_forceupdate_title,"New version available"
magic_star_special_text,"MAGIC STAR!"
magic_stars_combo_title,"Magic Combo!"
magic_stars_tooltip,"Magic Star"
magic_stars_without_combo_desc,"You got Magic Stars!"
magic_stars_without_combo_title,"Level Mastered!"
medal_collaborative_win_desc,"Win prizes in team-based challenges."
medal_collaborative_win_title,"Team Player!"
medal_free_the_ghost_desc,"Free the ghost in levels."
medal_free_the_ghost_title,"Ghost Reunion"
medal_hard_superhard_levels_desc,"Win 3 stars in Hard or Super Hard levels."
medal_hard_superhard_levels_title,Challenger!
medal_play_adventure_desc,"Win stars in Adventures."
medal_play_adventure_title,"Seasoned Adventurer!"
medal_upgrade_castle_desc,"Install items in Stella's Home or Beanstalk."
medal_upgrade_castle_title,"Castle Architect!"
medal_use_cats_desc,"Activate Star Cats before the level."
medal_use_cats_title,"Purr-fect Companions!"
pop_bob_noConnection_description,"You need a connection to take part in the competition."
popup_add_friends_button,"Add Friends"
popup_add_friends_castle,"Add
Friends"
popup_ads_booster_header,"Free Spell"
popup_ads_booster_header_retry,"Need help?"
popup_ads_booster_info,"Watch an Ad to start level with a FREE random spell!"
popup_ads_booster_info_retry,"Watch an Ad to restart this level with a FREE random spell!"
popup_ads_egp_info,"Watch an Ad for FREE moves!"
popup_ads_ftm_error,Error
popup_ads_ftm_free_spell,"Want a free spell? Watch this short video!"
popup_ads_ftm_free_spell_added,"Free Spell added!"
popup_ads_ftm_oops,"Oops! The video cannot be played at this time."
popup_ads_ftm_use_spell,"Here's your spell! Use it whenever you like"
popup_ads_onfire_desc,"Do you want to get your Fire Charm back?"
popup_ads_onfire_tap_to_skip,"Tap anywhere to skip"
popup_ads_ool_popup_CTA,"Watch Ad"
popup_ads_ool_popup_info,"You can Watch an Ad for a FREE life!"
popup_ads_ool_popup_info_flames,"You can Watch an Ad for a FREE flame!"
popup_adventures_title,Adventures
popup_all_friends_button,"All Friends"
popup_all_friends_button_2,"All
Friends"
popup_ask_button,Ask
popup_ask_for_lives_later,"Help is on the way, come back later!"
popup_ask_for_lives_title,"Ask for Lives"
popup_bob_Ended_title,"Leo's Cup Ended"
popup_bob_JoinAgain_button,"Join Again"
popup_bob_Join_button,Join
popup_bob_Joining_button,Joining
popup_bob_Level_title,"Leo's Cup Level"
popup_bob_PlayToJoin_description,"Pass all levels to join"
popup_bob_Presentation_description,"You won all the levels! Now play Leo’s Cup to win the competition!"
popup_bob_Presentation_gold_description,"You won all the levels and all the stars! Now play Leo’s Cup to win the competition!"
popup_bob_SeeResults_button,"See Results"
popup_bob_YouLose_description,"Maybe next time"
popup_bob_YourScore_title,"Your Score"
popup_bob_egp_description,"You'll lose the score bonus"
popup_bob_info_description,"Playing levels always increases your score.
Win to get the x4 bonus score."
popup_bob_loseSwipe_description,"But you get the level score"
popup_bob_loseSwipe_title,"No score bonus"
popup_bob_lose_keep_playing,"Keep playing Leo's Cup"
popup_bob_loser_description,"Maybe next time!"
popup_bob_timeup_description,"The score won't be added to Leo's Cup."
popup_bob_timeup_title,"Time's up!"
popup_bob_title,"Leo's Cup"
popup_bob_winner_description,Congratulations
popup_booster_created,"Spell Created!"
popup_booster_title_1,"Sparkling Blast"
popup_booster_title_2,"Stereo Bolt"
popup_booster_title_3,"Expel Spell"
popup_booster_title_4,"Magic Beam"
popup_booster_title_5,"Shooting Star"
popup_booster_title_6,"Rainbow Rush"
popup_booster_unlocked_gift,"You got 3 {0} spells for FREE!"
popup_booster_unlocked_title,"{0} unlocked!"
popup_bubble_clicker,"You have unlocked an improved way to clear bubbles! Play a special level to learn how."
popup_bubble_friends_button,"Bubble Friends"
popup_bubble_friends_button_2,"Bubble
Friends"
popup_button_confirm,Confirm
popup_button_save,Save
popup_button_score,Score:
popup_button_try,"Try it"
popup_buttons_like,Like
popup_buy_flame_sc,"Refill 1 flame"
popup_buy_life_sc,"Refill 1 life"
popup_carousel_tutorial_text,"Now there's a new way to access adventures!"
popup_castle_nativesharing_text,"What do you think of my home? #BubbleWitch3"
popup_chapter_selector_nativesharing_text,"I've got all stars on chapter {0}!"
popup_chapters_button_enter_chapter,Enter
popup_chapters_button_locked,Locked
popup_chapters_levels,"Levels {0}-{1}"
popup_chapters_name_episode1,"Fairy Forest"
popup_chapters_name_episode10,"Brittle Bastion"
popup_chapters_name_episode100,"Checkered Chess"
popup_chapters_name_episode101,"Silent Silhouettes"
popup_chapters_name_episode102,"Cold Clouds"
popup_chapters_name_episode103,"Absolute Alleviation"
popup_chapters_name_episode104,"Pumpkin Panorama"
popup_chapters_name_episode105,"Flying Fantasy"
popup_chapters_name_episode106,"Dreamy Destination"
popup_chapters_name_episode107,"Timid Treasure"
popup_chapters_name_episode108,"Purple Paradise"
popup_chapters_name_episode109,"Summer Sunset"
popup_chapters_name_episode11,"Hikey Highlands"
popup_chapters_name_episode110,"Wondrous Way"
popup_chapters_name_episode111,"Dystopian Destiny"
popup_chapters_name_episode112,"Mismatching Mansions"
popup_chapters_name_episode113,"Ghostly Gardens"
popup_chapters_name_episode114,"Astonishing Astronomy"
popup_chapters_name_episode115,"Different Dimensions"
popup_chapters_name_episode116,"Sneaky Seasons"
popup_chapters_name_episode117,"Secret Sorcery"
popup_chapters_name_episode118,"Silent Sounds"
popup_chapters_name_episode119,"Unknown Underground"
popup_chapters_name_episode12,"Pumpkin Purlieu"
popup_chapters_name_episode120,"Precious Paws"
popup_chapters_name_episode121,"Dangerous Day"
popup_chapters_name_episode122,"Purple Panic"
popup_chapters_name_episode123,"Calm Country"
popup_chapters_name_episode124,"Tropical Town"
popup_chapters_name_episode125,"Funny Fantasy"
popup_chapters_name_episode126,"Dynamic Dungeon"
popup_chapters_name_episode127,"Mystic Moment"
popup_chapters_name_episode128,"Radical Rhythm"
popup_chapters_name_episode129,"Melancholic Musical"
popup_chapters_name_episode13,"Quaint Quagmire"
popup_chapters_name_episode130,"Invisible Island"
popup_chapters_name_episode131,"Vintage Village"
popup_chapters_name_episode132,"Demon Door"
popup_chapters_name_episode133,"Fabulous Fable"
popup_chapters_name_episode134,"Rusty Roads"
popup_chapters_name_episode135,"Pumpkin Path"
popup_chapters_name_episode136,"Winter Worlds"
popup_chapters_name_episode137,"Sky Stage"
popup_chapters_name_episode138,"Tiny Town"
popup_chapters_name_episode139,"Grumpy Gates"
popup_chapters_name_episode14,"Clumsy Cairns"
