BW3_A_WNT_DATE_TIME_Rest,"* Акция начнется в четверг 13-го апреля в 17:00 по ЦЛВ. Закончится во вторник 18-го апреля в 10:00."
BW3_A_WNT_DATE_TIME_android,"* Акция начнется в понедельник 10-го апреля в 9:00 по ЦЛВ. А закончится в среду 19-го апреля в 9:00."
BW3_A_WNT_SALE,"Хр-р, мр-р, хр-р... Кто посмел нарушить мой сон???

… Мне снился чудесный сон! Я наслаждался весенним ветерком, а тут вы, опять со своими БЕСКОНЕЧНЫМИ ЖИЗНЯМИ, которые можно получить за покупку ЗОЛОТЫХ СЛИТКОВ*!

Что ж... Видимо, пора перестать валяться на травке, а то ведь Стелла может спасти королеву фей. 

Я этого не допущу! Мрмя-ха-ха-ха!

Уильмур"
BW3_Launch_WNT,"Мрмя-ха-ха, в 2017-м я захвачу мир!
 
То есть... вы разве не знали? BUBBLE WITCH 3 SAGA теперь доступна по всему миру, и я стал знаменитым злодеем!
 
Да-да, именно я, кот Уильмур в ведьмовской шляпе и со злыми глазами. Я сею хаос в каждом уголке Страны Ведьм. Именно со мной вы будете сражаться в компании СТЕЛЛЫ, НЕРО и ВИОЛЕТТЫ! Я тот, кто... Ась? Это что такое? ОГУРЕЦ?!
 
Мне пора! Нужно похитить парочку фей.
 
Мя-яу-у-у!"
BW3_WNT_2ndRelease,"Ой-ой! Вы же не думали, что праздник окончен? Я все еще жду вас на уровне 240! Да-да! Именно так далеко вы можете зайти прямо сей-мур-р-час!
 
В Стране ведьм поговаривают, что Стелла произнесла заклинание, позволяющее вам загружать собственную фотографию в качестве аватара. Так что улыбнитесь!
 
А пока, похищу-ка я феечку....

Уильмур"
BW3_WNT_Discount,"Покупай золотые слитки и режим бессмертия на волшебных условиях: по обычной цене ты получишь минимум на 50% больше!"
BW3_WNT_EP12,"Совсем скоро начнутся зимние каникулы… И почему этот кот на нас так поглядывает…? Может, это Уильмур пытается украсть волшебство праздников?!

Помогите Стелле и Неро на НОВЫХ УРОВНЯХ! Сумеете добраться 220 уровня?

Если поможете Стелле с домом, можете получить НОВЫЕ ПОДАРКИ! Очков рангов больше нет. Но не переживайте, эти цифры сменятся кое-чем еще более волшебным!

Продолжайте колдовать!"
BW3_WNT_Generic1,"Наше ОЧЕРЕДНОЕ ОБНОВЛЕНИЕ наполнит игру волшебством.

Мы сотворили пару-тройку чарующих заклинаний, которые перенесут вас на следующий уровень. Правда-правда! Уильмуру эта идея не по душе, но и ему уже не терпится посмотреть, как вы будете колдовать!

Не играли какое-то время? Тогда сейчас как раз удобный случай стряхнуть пыль с волшебной палочки.

Колдуйте!"
BW3_WNT_Generic2,"Настал волшебный момент — вышло ОЧЕРЕДНОЕ ОБНОВЛЕНИЕ! Применяйте завораживающие трюки — и ваше мастерство заклинателя волшебных шариков взлетит до невиданных высот!

Страна ведьм не была бы таковой без ЕЖЕДНЕВНОГО БОНУСА, игр в догонялки со всеобщими любимцами — ПРИВИДЕНИЯМИ Лили, Билли и Джимми, а также ЗАДАНИЙ от Неро! Одна маленькая искра — и вы уже на следующем уровне.

Не играли какое-то время? Тогда сейчас как раз удобный случай стряхнуть пыль с волшебной палочки.

Колдуйте!"
BW3_WNT_HL2,"Зло может править миром... мрмя-ха-ха! И я достаточно силен, чтобы претворить это в жизнь. Вот только феи мешают *вздох*...
 
А это что? О да! Они оставили на карте почтовую сову, чтобы вы могли ОТПРАЛЯТЬ ЖИЗНИ в любое время. Кстати, вы заметили новую кнопку службы поддержки? Она существует, чтобы вам помогать. Удивительно, правда?
 
Еще я хочу, чтобы вы заглянули на ЧУДО-КАНАЛ... Я потрясающе выгляжу на мемах! Р-р-р!
 
Уильмур"
BW3_WNT_HotFix_1,"Земля вращается благодаря волшебству! Не верите? Как хотите.

Но именно этот основной ингредиент мы добавили в последнее обновление, чтобы игра стала еще более завораживающей!"
