leagues_ranking_tierdown,"League tier down"
leagues_ranking_tierup,"Leagues tier up"
royalpass_bundlefreetitle,"Witch's Bundle"
royalpass_bundleroyaltitle,"Royal Bundle"
royalpass_claimreward_booster,"More boosters!"
royalpass_claimreward_bundle,"Bundle Unlocked!"
royalpass_claimreward_fairydust,"You got more star dust!"
royalpass_claimreward_goldbar,"More Gold Bars!"
royalpass_claimreward_grandprize,"You got the Grand Prize!"
royalpass_claimreward_lives,Activated!
royalpass_featuretimertxt,"Ends in:"
royalpass_featuretitle,"Royal Pass"
royalpass_featuretitle_description,"Win levels to get free rewards, before the time expires!"
royalpass_freetxt,Free
royalpass_getpath_button,"Get Path"
royalpass_grandprizefreetitle,"The Witch's Prize"
royalpass_grandprizeroyaltitle,"The Royal Prize"
royalpass_infopopupstep1,"Win Levels"
royalpass_infopopupstep2,"Progress along the path"
royalpass_infopopupstep3,"Gain Special Rewards!"
royalpass_infopopuptitle,"How does it work?"
royalpass_intro_dialogue_nero,"You can climb the reward ladder by collecting medallions from completed levels."
royalpass_letsgo_btn,"Let's go!"
royalpass_pathunlocked,"Path Unlocked!"
royalpass_playlevelsdescription,"Win levels to fill the path..."
royalpass_purchasedescription,"Take the Royal Path to claim all the unlocked rewards!"
royalpass_reminder_2daysleft,"Only 2 days left!"
royalpass_reminder_3daysleft,"Only 3 days left!"
royalpass_reminder_lastday,"Last day!"
royalpass_screengoalclaim_description,"Claim all your rewards!"
royalpass_screengoalcompleted_description,"The Royal Pass is completed!"
royalpass_seasoncompleted_description,"You finished the Witch's Path. Upgrade to Royal Path to claim all locked rewards!"
royalpass_seasoncompleted_title,"You did it!"
royalpass_seasonidtext,"Season {0}"
royalpass_seasontimerend_claimall_btn,Thanks!
royalpass_seasontimerend_norewardspending,"The timer has ended. A new path will come back soon!"
royalpass_seasontimerend_rewardspendingdescription,"The timer has ended. We have added all your rewards! Enjoy!"
royalpass_tutorial_firstreward,"Claim your first reward!"
royalpass_tutorial_passlevels,"Keep passing levels to earn more!"
royalpass_unlock_btn,Unlock
royalpass_winlevelstext,"{0}/{1} Levels"
royalpass_winlevelstext_plural,"Win {0} Levels"
royalpass_winlevelstext_single,Win {0} Level
