BW3S_GoldenTournament_5levels,"All 5 levels must be completed"
BW3S_GoldenTournament_AlmostThere,"Almost There!"
BW3S_GoldenTournament_BackToGame,"Back to game"
BW3S_GoldenTournament_Bubblific,Bubblific!
BW3S_GoldenTournament_Complete5Levels,"Complete all 5 levels with the highest score to win the biggest amount of gold bars ever given!"
BW3S_GoldenTournament_CurrentPosition,"Current position updating..."
BW3S_GoldenTournament_CurrentlyPlayerX,"You're currently [X] of [X] players!"
BW3S_GoldenTournament_EnterName,"Enter your player name"
BW3S_GoldenTournament_EventEnded,"Event has ended!"
BW3S_GoldenTournament_FinalPrizes_MainBody,"1st - 50 Gold Bars per month for 12 months
2nd - 5th - 50 Gold Bars per month for 3 months
6th - 10th - 50 Gold Bars
Everyone who reached Golden Final - 1x Rainbow Rush, 1x Magic Beam, 1x Shooting Star"
BW3S_GoldenTournament_FinalPrizes_Title,"Finals Prizes"
BW3S_GoldenTournament_FinalRound,"Final Round"
BW3S_GoldenTournament_GroupsAndObjective_MainBody,"For the Qualifier round, players will be put into groups of 50 players. The top 10 players in each group who collect the most stars will win in-game rewards (either Stereo Bolt, Sparkling Blast, Shooting Star) and a place in the next tournament round – Round 1. 

For Round 1, players will be put into groups of 20 players.The top 3 players in each group who collects the most stars will win in-game rewards (either Shooting Star, Sparkling Blast, Magic Beam, Star Dust) and a place in the next tournament round – Round 2.
 
For Round 2, players will be put into groups of 10. The top 1 player in each group who collects the most stars will win in-game rewards (either Gold Bars, Shooting Star, Sparkling Blast, Stereo Bolt, Magic Beam, Star Dust) and a place in the next tournament round – the Golden Final. 

For the Golden Final - Players who reach the final will have 1 attempt at each of the final 5 bubble shooter levels. The top 1 player who completes all 5 levels of bubble shooter with the highest ranked score will be the overall winner and be rewarded with the biggest prize - the most amount of Gold Bars and be crowned the Bubble Witch 3 Saga Golden Tournament Champion. Those who fall into the top 10 highest ranked scores (excluding the overall winner) will also receive Gold Bars. Those who reach the Golden Final but do not win, will also receive some in-game rewards (Rainbow Rush, Magic Beam and Shooting Star)."
BW3S_GoldenTournament_GroupsAndObjective_Title,"Groups and Objective"
BW3S_GoldenTournament_HowToPlay_GoldenFinal_MainBody,"Congratulations on reaching the Golden Final of Bubble Witch 3 Saga Golden Tournament.
Can you become the Bubble Witch Champion of the World and best Bubble Witch player ever?!

Golden Final
The Golden Final Round is the ultimate test of skill: Complete all 5 levels with the highest score to win the biggest reward of Gold Bars ever!

- All 5 levels must be completed within the allocated time
- 1 attempt per level only
- Each Level has a Countdown Timer of 60 seconds
- Each level has a maximum of 20 Moves
- There are no boosters or blockers
- The Golden Final Round must have a working internet connection
- Winners will be notified if they have won approximately 2 days after the Golden Final has ended

Good Luck!"
BW3S_GoldenTournament_HowToPlay_MainBody,"Collect the most stars in your group to get a spot in the next round.
Qualifier Round: The top 10 star collectors in each group will enter Round 1.
Round 1: The top 3 star collectors in each group will enter Round 2.
Round 2: The top 1 star collector in each group will enter the Golden Final round which will be hosted on a webpage. 
Golden Final: Will take place on a webpage. Players will take part in a 5 level bubble shooting. The #1 player with the highest ranked score will be the overall winner of the Tournament and win the biggest gold bar prize."
BW3S_GoldenTournament_HowToPlay_Title,"How to Play"
BW3S_GoldenTournament_Info,Info
BW3S_GoldenTournament_InstallNow,"Install Now!"
BW3S_GoldenTournament_InstallWebapp,"To install this webapp on your mobile phone, tap [icon] then 'Add to Home Screen'"
BW3S_GoldenTournament_Language,"Choose your language"
BW3S_GoldenTournament_LetsGo,"Let's go!"
BW3S_GoldenTournament_Level1,"Level 1"
BW3S_GoldenTournament_Level2,"Level 2"
BW3S_GoldenTournament_Level3,"Level 3"
BW3S_GoldenTournament_Level4,"Level 4"
BW3S_GoldenTournament_Level5,"Level 5"
BW3S_GoldenTournament_LevelComplete,"Level Completed!"
BW3S_GoldenTournament_LevelsComplete2,"Levels Complete!"
BW3S_GoldenTournament_Loading,Loading…
BW3S_GoldenTournament_Moves,"You have [X] moves!"
BW3S_GoldenTournament_Moves2,Moves
BW3S_GoldenTournament_Name,"Player name must be at least 3 characters long"
BW3S_GoldenTournament_NameExists,"Player name already exists"
BW3S_GoldenTournament_NameOneWord,"Player name must only be one word"
BW3S_GoldenTournament_NameRequired,"Player name is required"
BW3S_GoldenTournament_NameSpecialCharacters,"Player name cannot include special characters"
BW3S_GoldenTournament_NameUnacceptable,"Player name is unacceptable"
BW3S_GoldenTournament_NameUnique,"Player name must be unique"
BW3S_GoldenTournament_NextLevel,"Next Level"
BW3S_GoldenTournament_Nickname,"Use a nickname or first name only!"
BW3S_GoldenTournament_Pop,"Pop as many bubbles as possible!"
BW3S_GoldenTournament_PrivacyPolicy,"Privacy Policy"
