BW3S_GoldenTournament_5levels,"Нужно пройти все 5 уровней"
BW3S_GoldenTournament_AlmostThere,"Почти готово!"
BW3S_GoldenTournament_BackToGame,"Назад в игру"
BW3S_GoldenTournament_Bubblific,Шарикарно!
BW3S_GoldenTournament_Complete5Levels,"Пройди все 5 уровней с лучшим счетом и выиграй больше золота, чем когда-либо!"
BW3S_GoldenTournament_CurrentPosition,"Обновляем место..."
BW3S_GoldenTournament_CurrentlyPlayerX,"Ты на [X]-м месте из [X] игроков!"
BW3S_GoldenTournament_EnterName,"Введи имя игрока"
BW3S_GoldenTournament_EventEnded,"Событие закончилось!"
BW3S_GoldenTournament_FinalPrizes_MainBody,"1-е место: по 50 золотых слитков в месяц в течение года.
2-5 место: по 50 золотых слитков в месяц в течение 3 месяцев.
6-10 место: 50 золотых слитков.
Все участники золотого финала получат: 1 радужный натиск, 1 волшебный луч и 1 звезду-заряд."
BW3S_GoldenTournament_FinalPrizes_Title,"Финальные призы"
BW3S_GoldenTournament_FinalRound,Финал
BW3S_GoldenTournament_GroupsAndObjective_MainBody,"Во время отборочных матчей игроки будут разделены на группы по 50 человек. Из каждой группы 10 лучших собирателей звезд получат награду (стереомолнию, искрящийся взрыв или звезду-заряд) и место в 1-м раунде турнира. 

Во время 1-го раунда формируются группы по 20 человек. По 3 лучших собирателя звезд из каждой группы получат награду (звезду-заряд, искрящийся взрыв, волшебный луч или звездную пыль) и место во 2-м раунде турнира.
 
Во время 2-го раунда игроки разбиваются на группы по 10 человек. Лучший игрок собиратель звезд в каждой группе получит награду (золотые слитки, звезду-заряд, искрящийся взрыв, стереомолнию, волшебный луч или звездную пыль) и место в золотом финале. 

В финале у игроков будет по одной попытке пройти 5 шарикарных уровней. Игрок, который пройдет все 5 уровней с самым высоким счетом, станет победителем и получит самый лучший приз всех времен – наибольшее количество слитков и корону чемпиона золотого турнира Bubble Witch 3 Saga. Те, кто окажется в десятке лучших (не считая победителя), также получат слитки. Те, кто доберется до финала, но не выиграет, также получат награды (радужный натиск, волшебный луч и звезду-заряд)."
BW3S_GoldenTournament_GroupsAndObjective_Title,"Группы и цель"
